student_id,education_level,programming_experience,math_background,ai_experience,career_goal,preferred_learning_mode,available_hours_per_week
S1001,BS Computer Science,Beginner,Average,,AI Engineer,Online,8
S1002,BS Software Engineering,Intermediate,Strong,Basic,Data Scientist,Hybrid,10
S1003,BS Information Technology,Beginner,Weak,,ML Engineer,Online,6
S1004,MS Computer Science,Advanced,Strong,Intermediate,AI Researcher,On-campus,15
S1005,BS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,12
S1006,BS Computer Science,Beginner,Weak,Basic,Data Scientist,Hybrid,8
S1007,BS Computer Science,Beginner,Average,Intermediate,AI Engineer,Online,8
S1008,BS Software Engineering,Intermediate,Average,Basic,AI Engineer,Online,10
S1009,BS Computer Science,Advanced,Strong,Intermediate,AI Engineer,Online,8
S1010,BS Software Engineering,Advanced,Weak,nan,Data Scientist,Hybrid,6
S1011,BS Computer Science,Beginner,Strong,nan,ML Engineer,Online,12
S1012,BS Information Technology,Beginner,Strong,Basic,AI Engineer,On-campus,8
S1013,BS Computer Science,Beginner,Average,nan,AI Engineer,Hybrid,8
S1014,BS Computer Science,Intermediate,Weak,nan,Data Scientist,Online,15
S1015,BS Information Technology,Advanced,Weak,Basic,ML Engineer,Online,10
S1016,BS Information Technology,Beginner,Average,Basic,AI Engineer,Hybrid,10
S1017,MS Computer Science,Advanced,Weak,Basic,Data Scientist,Online,8
S1018,BS Software Engineering,Beginner,Weak,Intermediate,ML Engineer,Online,10
S1019,BS Computer Science,Beginner,Strong,Intermediate,AI Researcher,On-campus,10
S1020,BS Information Technology,Intermediate,Strong,Basic,AI Engineer,Online,12
S1021,MS Computer Science,Intermediate,Strong,nan,Data Scientist,Hybrid,12
S1022,MS Computer Science,Beginner,Average,nan,Data Scientist,Hybrid,15
S1023,BS Computer Science,Beginner,Strong,Intermediate,AI Engineer,On-campus,12
S1024,BS Information Technology,Intermediate,Average,nan,AI Engineer,Online,6
S1025,BS Computer Science,Beginner,Strong,Basic,AI Researcher,Online,6
S1026,BS Computer Science,Intermediate,Average,nan,ML Engineer,Online,12
S1027,BS Software Engineering,Intermediate,Weak,Basic,AI Engineer,Online,8
S1028,BS Computer Science,Beginner,Strong,nan,AI Engineer,Online,6
S1029,BS Software Engineering,Beginner,Strong,Basic,AI Engineer,Online,15
S1030,BS Computer Science,Intermediate,Strong,Basic,AI Researcher,Online,10
S1031,BS Information Technology,Intermediate,Average,Intermediate,Data Scientist,Online,10
S1032,BS Information Technology,Advanced,Weak,Intermediate,AI Engineer,On-campus,8
S1033,BS Software Engineering,Intermediate,Average,nan,AI Engineer,Online,12
S1034,BS Software Engineering,Intermediate,Strong,nan,AI Engineer,Online,10
S1035,BS Computer Science,Beginner,Weak,nan,AI Engineer,Hybrid,6
S1036,MS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,15
S1037,BS Software Engineering,Advanced,Strong,Basic,AI Engineer,Online,15
S1038,BS Information Technology,Advanced,Strong,Intermediate,AI Engineer,Online,8
S1039,MS Computer Science,Beginner,Average,Basic,Data Scientist,Hybrid,12
S1040,MS Computer Science,Intermediate,Strong,Basic,ML Engineer,On-campus,10
S1041,BS Computer Science,Advanced,Average,nan,AI Engineer,Online,8
S1042,BS Computer Science,Intermediate,Strong,Intermediate,AI Researcher,On-campus,10
S1043,MS Computer Science,Beginner,Strong,Intermediate,AI Engineer,On-campus,6
S1044,MS Computer Science,Beginner,Strong,Basic,AI Researcher,Hybrid,10
S1045,BS Information Technology,Intermediate,Average,Basic,AI Engineer,Online,6
S1046,BS Computer Science,Beginner,Average,Intermediate,AI Engineer,Online,10
S1047,BS Computer Science,Intermediate,Average,Basic,AI Engineer,Online,8
S1048,BS Software Engineering,Advanced,Average,Basic,Data Scientist,Online,12
S1049,BS Computer Science,Intermediate,Average,Intermediate,AI Engineer,Online,12
S1050,BS Information Technology,Beginner,Strong,nan,Data Scientist,Online,15
S1051,BS Software Engineering,Beginner,Strong,nan,AI Engineer,Online,15
S1052,BS Computer Science,Intermediate,Average,nan,AI Engineer,Hybrid,12
S1053,BS Information Technology,Intermediate,Weak,nan,Data Scientist,Online,6
S1054,BS Software Engineering,Advanced,Average,nan,AI Engineer,Online,8
S1055,BS Computer Science,Beginner,Average,Basic,ML Engineer,Online,8
