intent,user_query_example,bot_response
course_recommendation,Which AI course should I start with?,"Based on your background, Introduction to Artificial Intelligence is recommended."
prerequisites,Do I need math for AI?,"Yes. Linear algebra, probability, and statistics are important for AI."
career_guidance,I want to become an AI engineer,"Start with Python and AI fundamentals, then move to Machine Learning and Deep Learning."
enrollment_process,How can I enroll in an AI course?,You can enroll through the official university or platform portal before the deadline.
difficulty_query,Is AI difficult for beginners?,"AI can be challenging, but with structured learning it becomes manageable."
learning_mode,Can I study AI online?,"Yes, many AI courses are available in online and hybrid modes."
enrollment_process,Where can I check course availability?,You can enroll via the official portal. I can also tell you if the course is Open/Closed in the catalog.
difficulty_query,Will I struggle with Deep Learning?,Difficulty depends on your background. I will compare your profile to the course difficulty and prerequisites.
prerequisites,Is NLP343 eligible for me?,I can check eligibility and show missing prerequisites for the course you mention.
enrollment_process,Can I enroll if a course is closed?,You can enroll via the official portal. I can also tell you if the course is Open/Closed in the catalog.
learning_mode,Help me with DATA488,"I can help with recommendations, prerequisites, career guidance, and planning."
difficulty_query,Which course is easiest to start with?,Difficulty depends on your background. I will compare your profile to the course difficulty and prerequisites.
prerequisites,Can I take MATH126 if I completed DS407?,I can check eligibility and show missing prerequisites for the course you mention.
career_guidance,Guide me for Data Analyst roadmap,Tell me your target career role and I will map skills and recommended courses for that role.
course_recommendation,Recommend me AI courses for beginners,"Based on your profile and prerequisites, here are the best eligible courses ranked for you."
career_guidance,How can I prepare for Robotics Engineer?,Tell me your target career role and I will map skills and recommended courses for that role.
course_recommendation,Show top AI courses I can enroll in,"Based on your profile and prerequisites, here are the best eligible courses ranked for you."
learning_mode,Can you recommend courses?,"I can help with recommendations, prerequisites, career guidance, and planning."
prerequisites,Do I need Python before AI388?,I can check eligibility and show missing prerequisites for the course you mention.
learning_mode,Check prerequisites for DATA346,"I can help with recommendations, prerequisites, career guidance, and planning."
learning_mode,Check prerequisites for DS281,"I can help with recommendations, prerequisites, career guidance, and planning."
career_guidance,What skills do I need for NLP Engineer?,Tell me your target career role and I will map skills and recommended courses for that role.
difficulty_query,How difficult is Machine Learning?,Difficulty depends on your background. I will compare your profile to the course difficulty and prerequisites.
career_guidance,What skills do I need for Data Analyst?,Tell me your target career role and I will map skills and recommended courses for that role.
