course_id,course_name,difficulty_level,prerequisites,duration_weeks,learning_outcomes,career_relevance,course_type,enrollment_status
AI101,Introduction to Artificial Intelligence,Beginner,Python;Basic Math,8,AI concepts;Search algorithms,AI Engineer;Data Scientist,University,Open
ML201,Machine Learning,Intermediate,Python;Statistics,10,Supervised and unsupervised learning,ML Engineer;Data Scientist,University,Open
DL301,Deep Learning,Advanced,Machine Learning;Linear Algebra,12,Neural networks;CNNs;RNNs,AI Engineer;Researcher,Online,Open
DS101,Statistics for Data Science,Beginner,Basic Math,6,Probability;Statistical analysis,Data Scientist,Online,Open
MLOPS401,MLOps and Deployment,Advanced,Machine Learning;Cloud Basics,8,Model deployment;CI/CD,ML Engineer,Online,Closed
CV494,Computer Vision II,Intermediate,MLOPS401,6,MLOps pipelines;Data preprocessing;Deployment basics;Feature engineering,NLP Engineer;Robotics Engineer;Researcher,Online,Open
SE481,Software Engineering for AI I,Intermediate,AI101;Cloud,12,Reinforcement learning intro;MLOps pipelines;Transformers;Hands-on projects;Feature engineering,AI Engineer,University,Closed
MATH147,Math for AI Projects,Advanced,Cloud,12,Model evaluation;Reinforcement learning intro;Transformers;Time-series analysis;Data preprocessing,AI Engineer,University,Open
ML373,Machine Learning Applications Fundamentals,Beginner,CV494;Statistics;Linear Algebra,6,Neural networks;Feature engineering;Data preprocessing,Computer Vision Engineer;AI Product Manager;Data Scientist,University,Closed
DATA488,Data Engineering Fundamentals,Intermediate,CV494;Basic Programming;Statistics,12,Experiment design;Research methods;Transformers,AI Consultant;ML Engineer,Online,Open
NLP338,Natural Language Processing Projects,Beginner,DS101,6,APIs integration;Reinforcement learning intro;Research methods;Transformers;Neural networks,ML Engineer;AI QA Engineer;AI Consultant,University,Open
DATA358,Data Engineering II,Advanced,DL301;Basic Math,14,Data preprocessing;Hands-on projects;Ethics and fairness;Time-series analysis;Experiment design,Researcher;NLP Engineer,University,Open
MATH246,Math for AI Projects,Intermediate,NLP338;Python;Basic Programming,6,Optimization;Reinforcement learning intro;Transformers;Deployment basics,AI Product Manager;AI Consultant;Computer Vision Engineer,Online,Open
DS281,Data Science Foundations Lab,Advanced,NLP338;SE481,14,Model evaluation;Transformers;Reinforcement learning intro;Computer vision pipelines;Experiment design,Computer Vision Engineer;AI Product Manager,University,Closed
MATH111,Math for AI Lab,Beginner,AI Fundamentals,8,Deployment basics;SQL analytics;Model evaluation,Data Scientist;Researcher,University,Open
DS407,Data Science Foundations Projects,Beginner,Cloud;Statistics,12,MLOps pipelines;Time-series analysis;Ethics and fairness,AI Consultant;Data Analyst,Online,Open
CV260,Computer Vision Bootcamp,Intermediate,Cloud,12,Transformers;Reinforcement learning intro;MLOps pipelines;Model evaluation,AI Consultant,University,Open
AI430,Applied AI Concepts Projects,Advanced,ML201;CV260;Basic Math,8,Research methods;APIs integration;Deployment basics;MLOps pipelines,Data Scientist;Robotics Engineer,Online,Open
AI314,Applied AI Concepts I,Beginner,MATH147;Basic Math,10,Foundations;Computer vision pipelines;Optimization,AI Product Manager;AI Engineer;Computer Vision Engineer,University,Open
NLP343,Natural Language Processing Advanced Topics,Advanced,DS407;MATH111;Python;Basic Math,6,Feature engineering;Deployment basics;MLOps pipelines;Hands-on projects,Robotics Engineer;Data Analyst,University,Open
CV316,Computer Vision Advanced Topics,Intermediate,MLOPS401,12,SQL analytics;Foundations;Ethics and fairness;Time-series analysis;Model evaluation,Business Intelligence Analyst;ML Engineer,Online,Open
